State,District,Block/Tehsil,Village,Culturable Command Area,Irrigation potential created - Kharif,Irrigation potential created - Rabi,Irrigation potential created - Perennial,Irrigation potential created - Other
ANDAMAN & NICOBARS,NICOBAR,CAR NICOBAR,Big Lapati,0.1,0.1,0.1,0,0
ANDAMAN & NICOBARS,NICOBAR,CAR NICOBAR,Tapoiming,0.6,0.4,0.4,0,0
ANDHRA PRADESH,Anantapur,Agali,Agali,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Agali,Akkagaladevarahalli,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Agali,Hulikeradevarahalli,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Agali,Inagalore,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Agali,Kodihalli,1.79,1.71,0.62,0,0
ANDHRA PRADESH,Anantapur,Agali,Madhudi,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Agali,Narasambudi,0.45,0.4,0.08,0,0
ANDHRA PRADESH,Anantapur,Agali,P. Byadigera,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Agali,Ravudi,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Amadagur,Amadagur,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Amadagur,Cheekirevulapalle,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Amadagur,Chinaganipalle,0.8,0.8,0.2,0,0
ANDHRA PRADESH,Anantapur,Amadagur,Dademvaripalle,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Amadagur,Edigavaripalle,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Amadagur,Jowkalakothapalle,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Amadagur,Karinireddipalle,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Amadagur,Kassamudram,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Amadagur,Lokojipalle,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Amadagur,Mohammadabad,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Amadagur,Pulikuntlapalle,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Amadagur,Ramanathapuram,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Amadagur,Thummala,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Anantapur,Anantapur (CT),0,0,0,0,0
ANDHRA PRADESH,Anantapur,Anantapur,Anantapur (M Corp),0,0,0,0,0
ANDHRA PRADESH,Anantapur,Anantapur,Chiyyedu,3.65,3.65,2.83,0,0
ANDHRA PRADESH,Anantapur,Anantapur,Gollapalle,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Anantapur,Itikalapalle,8.4,8.4,6.17,0,0
ANDHRA PRADESH,Anantapur,Anantapur,Kamarupalle,1.21,1.21,1.21,0,0
ANDHRA PRADESH,Anantapur,Anantapur,Kandakur,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Anantapur,Narayanapuram (CT),10.33,10.33,8.49,0,0
ANDHRA PRADESH,Anantapur,Anantapur,Somanadoddi,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Anantapur,Thaticherla,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Atmakur,Brahmana Yaleru,7.21,7.21,6.81,0,0
ANDHRA PRADESH,Anantapur,Atmakur,Goridindla,18.2,10.92,9.3,0.81,0
ANDHRA PRADESH,Anantapur,Atmakur,Padamatiyaleru,2.02,0.81,0.81,0.4,0
ANDHRA PRADESH,Anantapur,Atmakur,Sanapa,35.58,29.52,24.63,0.4,0
ANDHRA PRADESH,Anantapur,Atmakur,Thopudurthi,19.43,10.51,8.9,3.23,0
ANDHRA PRADESH,Anantapur,Bathalapalle,Apparacheruvu,12.74,10.94,7.02,0,0
ANDHRA PRADESH,Anantapur,Bathalapalle,Bathalapalle,4.45,2.83,2,0,0
ANDHRA PRADESH,Anantapur,Bathalapalle,Chennarayapatnam,0.4,0.4,0.4,0,0
ANDHRA PRADESH,Anantapur,Bathalapalle,D.Cherlopalle,31.55,16.83,18.86,0,0
ANDHRA PRADESH,Anantapur,Bathalapalle,Dampetla,1.85,1.03,0.8,0,0
ANDHRA PRADESH,Anantapur,Bathalapalle,Edula Mustur,31.15,19.4,12.79,0,0
ANDHRA PRADESH,Anantapur,Bathalapalle,Gariselapalle,37.27,31.84,25.41,0,0
ANDHRA PRADESH,Anantapur,Bathalapalle,Malyavantham,4.41,4.01,3.6,0,0
ANDHRA PRADESH,Anantapur,Bathalapalle,Obulapuram,19.21,12,9.02,0,0
ANDHRA PRADESH,Anantapur,Bathalapalle,Raghavampalle,9.15,8.87,4.62,0,0
ANDHRA PRADESH,Anantapur,Bathalapalle,Sangala,2.02,2.02,1.82,0,0
ANDHRA PRADESH,Anantapur,Beluguppa,Beluguppa,2.83,2.43,0.8,0,0
ANDHRA PRADESH,Anantapur,Beluguppa,Duddekunta,1.4,1.4,0,0,0
ANDHRA PRADESH,Anantapur,Beluguppa,Gangavaram,1,1,0,0,0
ANDHRA PRADESH,Anantapur,Beluguppa,Kalvapalle,1.2,1.2,0,0,0
ANDHRA PRADESH,Anantapur,Beluguppa,Konampalle,0.4,0.4,0,0,0
