State,District,Block/Tehsil,Village,Culturable Command Area,Irrigation potential created - Kharif,Irrigation potential created - Rabi,Irrigation potential created - Perennial,Irrigation potential created - Other
ANDAMAN & NICOBARS,NICOBAR,CAR NICOBAR,Big Lapati,0.1,0.1,0.1,0,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,RANGAT,Adojig,5.4,4.4,0.4,0.2,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,RANGAT,Betapur,1.13,0,0.41,0.1,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,RANGAT,Ramachandra nagar,0.3,0.3,0.3,0,0
ANDAMAN & NICOBARS,SOUTH ANDAMAN,FERRARGUNJ,Namunagarh,0.62,0.5,0.5,0,0
ANDAMAN & NICOBARS,SOUTH ANDAMAN,FERRARGUNJ,Tirur,2,0.1,0.1,0,0
ANDHRA PRADESH,Anantapur,Amadagur,Chinaganipalle,3.23,2.63,1.31,0,0
ANDHRA PRADESH,Anantapur,Atmakur,Sanapa,1.62,0.81,0.81,0.81,0
ANDHRA PRADESH,Anantapur,Atmakur,Talupuru,1.21,1.21,0.61,0,0
ANDHRA PRADESH,Anantapur,Bathalapalle,Chennarayapatnam,2.02,1.62,1.21,0,0
ANDHRA PRADESH,Anantapur,Bathalapalle,D.Cherlopalle,5.67,4.85,4.13,0,0
ANDHRA PRADESH,Anantapur,Bathalapalle,Edula Mustur,1.42,1.01,0.4,0,0
ANDHRA PRADESH,Anantapur,Bathalapalle,Gariselapalle,0.71,0.4,0.3,0,0
ANDHRA PRADESH,Anantapur,Bathalapalle,Raghavampalle,7.04,6.03,4.44,0,0
ANDHRA PRADESH,Anantapur,Bukkapatnam,Agraharam,44.49,30.49,20.42,2.02,0
ANDHRA PRADESH,Anantapur,Bukkapatnam,Bukkapatnam,57.85,53.72,23.39,0,0
ANDHRA PRADESH,Anantapur,Bukkapatnam,Gunipalle,61.92,41.47,35.15,4.45,0
ANDHRA PRADESH,Anantapur,Bukkapatnam,Kothakota,63.47,44.86,34.73,3.03,0
ANDHRA PRADESH,Anantapur,Bukkapatnam,Krishnapuram,0.81,0.4,0.4,0,0
ANDHRA PRADESH,Anantapur,Bukkapatnam,Marala,77.42,65.24,51.16,0.61,0
ANDHRA PRADESH,Anantapur,Bukkapatnam,Pamudurthi,77.39,65.42,54.29,0,0
ANDHRA PRADESH,Anantapur,Bukkapatnam,Siddarampuram,2.83,2.42,1.62,0.4,0
ANDHRA PRADESH,Anantapur,Chilamathur,Kodur,55.96,42.58,30.54,0.6,0
ANDHRA PRADESH,Anantapur,Chilamathur,Morasalapalle,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Chilamathur,Somaghatta,15.19,15.19,13.05,0,0
ANDHRA PRADESH,Anantapur,Chilamathur,Yagnisettipalle,1.09,1.09,0.81,0,0
ANDHRA PRADESH,Anantapur,D.Hirehal,Jajarakal,0.4,0.4,0,0,0
ANDHRA PRADESH,Anantapur,D.Hirehal,Muradi,3.71,3.35,0.75,0,0
ANDHRA PRADESH,Anantapur,Dharmavaram,Mallakalva,0,0,0,0,0
