State,District,Block/Tehsil,Village,Salinity - No.,Salinity - PL,Dried up - No.,Dried up - PL,Destroyed beyond repair - No.,Destroyed beyond repair - PL,Sea water intrusion  - No.,Sea water intrusion  - PL,Industrial effluents - No.,Industrial effluents - PL,Availability of Major/Medium Irrigation Projects  - No.,Availability of Major/Medium Irrigation Projects  - PL,Other reasons - No.,Other reasons - PL
ANDHRA PRADESH,Anantapur,Anantapur,Kandakur,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Bathalapalle,Dampetla,0,0,14,8.89,1,1.62,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Bathalapalle,Gariselapalle,0,0,1,1.21,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Bathalapalle,Sangala,0,0,3,4.85,2,3.32,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Brahmasamudram,Gundiganihalli,0,0,0,0,1,1.01,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Brahmasamudram,Vepalaparthy,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Chilamathur,Kodur,0,0,5,4.24,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Garladinne,Garladinne,0,0,6,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Garladinne,Illuru,0,0,36,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Garladinne,Jambuladinne,0,0,26,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Garladinne,Kalluru Agraharam,0,0,12,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Garladinne,Koppalakonda,0,0,50,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Garladinne,Krishnapuram,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Garladinne,Obulapuram,0,0,15,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Garladinne,Penakacherla,0,0,95,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Gudibanda,Kekathi,0,0,15,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Kadiri,Kadiri Brahmanapalle,0,0,1,0.52,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Kanaganapalle,Kanaganapalle,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Kanaganapalle,Maddalacheruvu,0,0,3,0,0,0,1,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Lepakshi,Pulamathi,0,0,8,10.09,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Nallamada,Nallamada,0,0,2,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Obuladevaracheruvu,Inagalur,0,0,1,0.8,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Pamidi,Akkajampalle,0,0,12,0,0,0,0,0,0,0,0,0,0,0
