State,District,Block/Tehsil,Village,No. of Surface Flow Schemes Permanently not in use due to - Salinity,No. of Surface Flow Schemes Permanently not in use due to - Dried up,No. of Surface Flow Schemes Permanently not in use due to - Destroyed beyond repair,No. of Surface Flow Schemes Permanently not in use due to - Sinking,No. of Surface Flow Schemes Permanently not in use due to - Other reasons
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,RANGAT,Padmanabpuram,0,0,0,0,1
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,RANGAT,Thiruvanchikulam,0,0,0,0,1
ANDHRA PRADESH,Prakasam,Kanigiri,Viswanadha Puram,0,1,0,0,0
ANDHRA PRADESH,Chittoor,Yadamarri,Dasarapalle,0,1,0,0,0
ANDHRA PRADESH,Visakhapatnam,Pendurthi,Juthada,0,0,0,0,1
ANDHRA PRADESH,Chittoor,Thavanampalle,Gurukavaripalle,0,2,0,0,0
ANDHRA PRADESH,Chittoor,Chinnagottigallu,Thippireddigaripalle,0,25,0,0,0
ANDHRA PRADESH,Anantapur,Tanakal,Tanakal,0,1,0,0,0
ANDHRA PRADESH,Krishna,Kanchikacherla,Gottumukkala,0,0,0,0,1
ANDHRA PRADESH,Vizianagaram,Mentada,Jayathi,0,0,0,0,4
ANDHRA PRADESH,Kadapa,Atlur,Varikunta,0,1,0,0,0
ANDHRA PRADESH,Anantapur,Anantapur,Kakkalapalle (CT),0,0,0,0,1
ANDHRA PRADESH,Kadapa,Chakrayapet,Rajupalle,0,1,0,0,0
ANDHRA PRADESH,East Godavari,Rampachodavaram,Sokulagudem,0,0,0,0,1
ANDHRA PRADESH,Vizianagaram,Gummalakshmipuram,Batugudaba,0,0,1,0,0
ANDHRA PRADESH,Vizianagaram,Gummalakshmipuram,Penguva,0,0,2,0,0
ANDHRA PRADESH,Anantapur,Guntakal,Guntakal (M),0,0,2,0,0
ANDHRA PRADESH,Vizianagaram,Denkada,Gunupuru,0,2,1,0,2
ANDHRA PRADESH,East Godavari,Y. Ramavaram,Irlavada,0,0,1,0,0
ANDHRA PRADESH,Chittoor,Thamballapalle,Panchalamarri,0,0,0,1,0
ANDHRA PRADESH,Vizianagaram,Gummalakshmipuram,Keesari,0,0,1,0,0
ANDHRA PRADESH,Kadapa,Chennur,Kadapa (M.corp) (Part)(M Corp),0,0,0,0,1
ANDHRA PRADESH,Kadapa,Yerraguntla,Thippaluru,0,1,0,0,0
ANDHRA PRADESH,Srikakulam,Amadalavalasa,Amadalavalasa (M),0,0,0,0,1
ANDHRA PRADESH,Kadapa,Khajipet,Nagasanipalle,0,0,0,0,1
ANDHRA PRADESH,Chittoor,Kurabalakota,Kurabalakota,0,26,0,0,0
ANDHRA PRADESH,Sri Potti Sriramul,Doravarisatram,Buduru,0,0,0,0,1
ANDHRA PRADESH,Anantapur,Amarapuram,Sivaram,0,0,2,0,0
ANDHRA PRADESH,Vizianagaram,Garugubilli,Ullibhadra,0,0,0,0,1
ANDHRA PRADESH,Vizianagaram,Kurupam,Vobbangi,0,0,16,0,0
ANDHRA PRADESH,Chittoor,Yadamarri,Jangalapalle,0,4,0,0,0
ANDHRA PRADESH,Chittoor,Kambhamvaripalle,Thuvvapalle,0,3,0,0,0
ANDHRA PRADESH,Chittoor,Yadamarri,Otiripalle,0,1,0,0,0
ANDHRA PRADESH,Chittoor,Chinnagottigallu,Chittecherla,0,50,0,0,0
ANDHRA PRADESH,Visakhapatnam,Nathavaram,Srungavaram,0,0,0,0,4
ANDHRA PRADESH,Vizianagaram,Balijipeta,Ampavilli,0,1,0,0,0
ANDHRA PRADESH,Chittoor,Thamballapalle,Yerrasanipalle,0,0,1,0,0
ANDHRA PRADESH,Anantapur,Roddam,Roddakampalle,0,0,0,0,1
ANDHRA PRADESH,East Godavari,Gandepalle,Mallepalle,0,0,0,0,6
ANDHRA PRADESH,Kadapa,Jammalamadugu,Kothaguntapalle,0,3,0,0,0
ANDHRA PRADESH,Sri Potti Sriramul,Ojili,Karuru,0,0,0,0,1
ANDHRA PRADESH,Visakhapatnam,Dumbriguda,Dumbriguda,0,1,0,0,0
ANDHRA PRADESH,Kadapa,Chakrayapet,Surabhi,0,14,0,2,0
ANDHRA PRADESH,Prakasam,Pedacherlo Palle,Murugammi,0,1,0,0,0
ANDHRA PRADESH,Chittoor,B.Kothakota,Beerangi,0,12,0,0,0
ANDHRA PRADESH,Chittoor,Thamballapalle,Kosuvaripalle,0,28,0,1,0
ANDHRA PRADESH,Chittoor,Kalakada,Pothavaripalle,0,3,0,0,0
ANDHRA PRADESH,Visakhapatnam,Dumbriguda,Kosangi,0,3,0,0,0
ANDHRA PRADESH,Kadapa,Khajipet,Chemullapalle,0,0,0,0,1
ANDHRA PRADESH,Vizianagaram,Kurupam,Gollavalasa,0,0,0,0,1
ANDHRA PRADESH,Prakasam,Bestawaripeta,Madhana Pullala Cheruv,0,1,0,0,0
ANDHRA PRADESH,Anantapur,Bommanahal,Kuruvalli,0,0,1,0,0
ANDHRA PRADESH,Kurnool,Veldurthi,Sarparajapuram,0,2,0,0,0
ANDHRA PRADESH,Chittoor,Srikalahasti,Srikalahasti (M),0,0,0,0,1
ANDHRA PRADESH,Vizianagaram,Kurupam,Neelakantapuram,0,8,0,0,0
ANDHRA PRADESH,West Godavari,Denduluru,Gudigunta,0,0,0,0,2
ANDHRA PRADESH,Anantapur,Parigi,Seegipalle,0,0,4,0,0
ANDHRA PRADESH,Kadapa,Atlur,Kumbhagiri,0,3,0,0,0
ANDHRA PRADESH,Chittoor,Kurabalakota,Matlivaripalle,0,40,0,0,0
ANDHRA PRADESH,Kurnool,Kolimigundla,Thummalamenta(CT),0,0,0,0,2
ANDHRA PRADESH,Chittoor,Kurabalakota,Mudivedu,0,37,0,0,0
ANDHRA PRADESH,Chittoor,Satyavedu,Appaiahpalem,0,0,0,0,2
ANDHRA PRADESH,Prakasam,Kotha Patnam,Madanur,0,19,0,0,0
ANDHRA PRADESH,Anantapur,Ramagiri,Kuntimaddi,0,1,0,0,0
ANDHRA PRADESH,Chittoor,Yadamarri,Yadamarri,0,5,0,0,0
ANDHRA PRADESH,Vizianagaram,Gantyada,Ramavaram,0,0,0,0,2
ANDHRA PRADESH,Chittoor,Chandragiri,Kalroadpalle,0,2,0,0,0
ANDHRA PRADESH,Vizianagaram,Balijipeta,Tumarada,0,2,0,0,0
ANDHRA PRADESH,Vizianagaram,Gummalakshmipuram,Kondavada,0,0,1,0,0
ANDHRA PRADESH,Srikakulam,Narasannapeta,Komarthi,0,0,0,0,1
ANDHRA PRADESH,Anantapur,Yadiki,Gudipadu,0,1,0,0,0
ANDHRA PRADESH,Visakhapatnam,G.Madugula,Ubalagaruvu,0,0,0,0,1
ANDHRA PRADESH,Kadapa,Chakrayapet,Kateneniyerragudi,0,4,0,0,0
