State,District,Block/Tehsil,Village,No. of Surface Lift Schemes Permanently not in use due to - Salinity,No. of Surface Lift Schemes Permanently not in use due to - Dried up,No. of Surface Lift Schemes Permanently not in use due to - Destroyed beyond repair,No. of Surface Lift Schemes Permanently not in use due to - Sinking,No. of Surface Lift Schemes Permanently not in use due to - Other reasons
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,RANGAT,Sundergarh,0,1,0,0,0
ANDHRA PRADESH,Prakasam,Pamur,Bukkapuram,0,11,0,0,0
ANDHRA PRADESH,Prakasam,Yeddana Pudi,Yeddanapudi,0,0,0,0,8
ANDHRA PRADESH,Prakasam,Zarugumilli,Ramachandrapuram,0,0,3,0,0
ANDHRA PRADESH,Kadapa,Chapad,Chinnagurvalur,0,1,1,0,0
ANDHRA PRADESH,Visakhapatnam,Ravikamatham,Dharmavaram,0,0,0,0,1
ANDHRA PRADESH,Vizianagaram,Denkada,Denkada,0,0,1,0,0
ANDHRA PRADESH,Srikakulam,Pathapatnam,Korasavada,0,0,7,0,0
ANDHRA PRADESH,Guntur,Bollapalle,Gutlapalle,0,0,1,0,0
ANDHRA PRADESH,Prakasam,Tangutur,Tangutur,0,0,2,0,12
ANDHRA PRADESH,Prakasam,Veligandla,Hussain Puram,0,2,0,0,1
ANDHRA PRADESH,West Godavari,Tallapudi,Pochavaram,0,0,0,0,14
ANDHRA PRADESH,Guntur,Vinukonda,Surepalle,0,0,1,0,0
ANDHRA PRADESH,Prakasam,Pedacherlo Palle,Vepagum Palle,0,8,0,0,0
ANDHRA PRADESH,Prakasam,Ponnaluru,Boganampadu,0,4,0,0,0
ANDHRA PRADESH,Kadapa,Sidhout,Vontithatipalle,0,15,0,0,0
ANDHRA PRADESH,Prakasam,Ongole,Karavadi,0,12,0,0,0
ANDHRA PRADESH,Prakasam,Tangutur,Valluru Kavalimanyam,0,0,1,0,2
ANDHRA PRADESH,Prakasam,Zarugumilli,Kamepalle Agraharam,0,0,2,0,0
ANDHRA PRADESH,Vizianagaram,Denkada,Singavaram,0,0,1,0,0
ANDHRA PRADESH,Prakasam,Naguluppala Padu,Cheervanuppala Padu,0,1,1,0,0
ANDHRA PRADESH,Prakasam,Pamur,Anumalakonda,0,3,0,0,0
ANDHRA PRADESH,Prakasam,Veligandla,Ganna Varam,0,2,0,0,0
ANDHRA PRADESH,Prakasam,Chinaganjam,Pedaganjam,0,24,0,0,0
ANDHRA PRADESH,Prakasam,Pedacherlo Palle,Battupalle,0,5,0,0,0
ANDHRA PRADESH,Srikakulam,Ichchapuram,Edupuram,0,0,1,0,0
ANDHRA PRADESH,Prakasam,Veligandla,Perugupalle,0,1,0,0,0
ANDHRA PRADESH,Prakasam,Pedacherlo Palle,Pothavaram,0,20,0,0,0
ANDHRA PRADESH,East Godavari,Kadiam,Vemagiri,0,0,0,0,1
ANDHRA PRADESH,Prakasam,Kanigiri,Vijaya Gopala Puram,0,47,0,0,0
ANDHRA PRADESH,Guntur,Vinukonda,Pedakancherla,0,0,0,0,2
ANDHRA PRADESH,Vizianagaram,Pusapatirega,Nadipalle,0,0,1,0,0
ANDHRA PRADESH,Prakasam,Pamur,Vaggampalle,0,0,1,0,0
ANDHRA PRADESH,Prakasam,Pedacherlo Palle,Murugammi,0,25,0,0,0
ANDHRA PRADESH,Krishna,Jaggayyapeta,Tripuravaram,0,0,0,0,1
ANDHRA PRADESH,Sri Potti Sriramul,Nellore,Kandamur,0,0,0,1,0
ANDHRA PRADESH,Prakasam,Zarugumilli,Chirrikura Padu,0,0,2,0,0
ANDHRA PRADESH,Prakasam,Kondapi,Pedakandlagunta,0,0,1,0,0
ANDHRA PRADESH,Prakasam,Inkollu,Inkollu,0,0,0,0,1
ANDHRA PRADESH,Prakasam,Pamur,Mopadu,0,8,0,0,0
ANDHRA PRADESH,Prakasam,Pedacherlo Palle,Talakondapadu,0,13,0,0,0
ANDHRA PRADESH,Prakasam,Ponnaluru,Ravula Kollu,0,2,0,0,0
ANDHRA PRADESH,Prakasam,Chandra Sekhara Puram,Musunoor,0,19,0,1,0
ANDHRA PRADESH,Guntur,Nuzendla,Tripurapuram,0,0,5,0,0
ANDHRA PRADESH,Prakasam,Pamur,Renimadugu,0,10,1,0,0
ANDHRA PRADESH,Kadapa,Sidhout,Mulapalle,0,7,0,0,0
