State,District,Block/Tehsil,Village,Non Availability of Adequate Power/Fuel - No.,Non Availability of Adequate Power/Fuel - PL,Mechanical Break Down - No.,Mechanical Break Down - PL,Less discharge of Water - No.,Less discharge of Water - PL,Non - Availability of Finance - No.,Non - Availability of Finance - PL,Lack of Maintenance- No.,Lack of Maintenance- PL,Others - No.,Others - PL
ANDAMAN & NICOBARS,NICOBAR,CAR NICOBAR,Big Lapati,0,0,0,0,0,0,0,0,0,0,1,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,RANGAT,Adojig,0,0,0,0,0,0,0,0,2,2.8,1,1.3
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,RANGAT,Betapur,0,0,0,0,0,0,0,0,2,0,1,0
ANDAMAN & NICOBARS,NORTH & MIDDLE ANDAMAN,RANGAT,Ramachandra nagar,0,0,0,0,0,0,0,0,0,0,1,0.1
ANDAMAN & NICOBARS,SOUTH ANDAMAN,FERRARGUNJ,Namunagarh,0,0,0,0,1,0.8,0,0,0,0,0,0
ANDAMAN & NICOBARS,SOUTH ANDAMAN,FERRARGUNJ,Tirur,0,0,0,0,1,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Amadagur,Chinaganipalle,0,0,1,1.62,3,2.32,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Atmakur,Sanapa,0,0,0,0,1,2.43,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Atmakur,Talupuru,0,0,0,0,1,1.82,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Bathalapalle,Chennarayapatnam,0,0,0,0,1,2.41,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Bathalapalle,D.Cherlopalle,0,0,0,0,4,8.98,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Bathalapalle,Edula Mustur,1,1.41,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Bathalapalle,Gariselapalle,0,0,1,0.7,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Bathalapalle,Raghavampalle,0,0,0,0,3,8.05,0,0,1,2.42,0,0
ANDHRA PRADESH,Anantapur,Bukkapatnam,Agraharam,0,0,0,0,44,52.93,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Bukkapatnam,Bukkapatnam,0,0,0,0,64,77.11,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Bukkapatnam,Gunipalle,0,0,0,0,41,78.44,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Bukkapatnam,Kothakota,0,0,1,1.42,51,81.2,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Bukkapatnam,Krishnapuram,0,0,0,0,1,0.8,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Bukkapatnam,Marala,0,0,0,0,66,117.01,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Bukkapatnam,Pamudurthi,0,0,0,0,87,119.71,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Bukkapatnam,Siddarampuram,0,0,0,0,2,4.44,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Chilamathur,Kodur,0,0,0,0,39,34.24,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Chilamathur,Morasalapalle,1,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Chilamathur,Somaghatta,0,0,0,0,8,24.08,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Chilamathur,Yagnisettipalle,0,0,0,0,1,0.69,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,D.Hirehal,Jajarakal,1,0.4,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,D.Hirehal,Muradi,0,0,1,0.61,3,3.49,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Dharmavaram,Mallakalva,1,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Dharmavaram,Regatipalle,2,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Gandlapenta,Kamathampalle,0,0,0,0,1,0.21,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Gandlapenta,Maddivarigondi,0,0,0,0,1,2.02,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Gandlapenta,Veparala,1,0,0,0,2,1.4,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Gorantla,Budili,0,0,0,0,4,3.51,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Gorantla,Buganipalle,0,0,0,0,1,0.8,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Gorantla,Gangampalle,0,0,0,0,2,1.6,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Gorantla,Gorantla,0,0,0,0,16,15.07,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Gorantla,Gowrivaripalle,0,0,0,0,8,15.96,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Gorantla,Katepalle,1,2.02,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Gorantla,Mandalapalle,13,21.09,7,8.51,4,4.52,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Gorantla,Maredipalle,0,0,0,0,2,4.85,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Gorantla,Puleru,1,1.05,0,0,5,9.33,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Gorantla,Vadigepalle,0,0,0,0,13,19.36,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Gorantla,Vanavolu,2,2.02,1,1.42,3,3.63,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Gudibanda,Karikera,0,0,0,0,1,1.48,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Gudibanda,Kekathi,0,0,0,0,1,2.02,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Gummagatta,Rangasamudram,0,0,0,0,1,0.8,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Kadiri,Kadiri (M),0,0,0,0,1,0.8,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Kadiri,Kadiri (R),0,0,0,0,2,0.6,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Kadiri,Kondamanayanipalem,2,0.8,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Kadiri,Muthyalacheruvu,0,0,1,1.62,1,0.8,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Kadiri,Patnam,1,0,1,0.8,5,10.91,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Kothacheruvu,Bandlapalle,0,0,0,0,1,1.21,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Kothacheruvu,Kanisettipalle,0,0,0,0,12,10.6,0,0,0,0,1,1.01
ANDHRA PRADESH,Anantapur,Kothacheruvu,Kothacheruvu,1,0.4,1,1.21,3,6.07,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Kothacheruvu,Pothulakunta,1,0.8,0,0,19,19.46,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Kothacheruvu,Talamarla,0,0,1,0.61,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Kothacheruvu,Vangampalle,0,0,0,0,2,4.86,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Kothacheruvu,Virupapuram,0,0,0,0,1,0.61,0,0,0,0,0,0
