State,District,Block/Tehsil,Village,Salinity - No.,Salinity - PL,Dried up - No.,Dried up - PL,Destroyed beyond repair - No.,Destroyed beyond repair - PL,Sea water intrusion  - No.,Sea water intrusion  - PL,Industrial effluents - No.,Industrial effluents - PL,Availability of Major/Medium Irrigation Projects  - No.,Availability of Major/Medium Irrigation Projects  - PL,Other reasons - No.,Other reasons - PL
ANDHRA PRADESH,Anantapur,Agali,Kodihalli,0,0,5,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Amadagur,Amadagur,0,0,4,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Amadagur,Cheekirevulapalle,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Amadagur,Dademvaripalle,0,0,3,1.61,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Amadagur,Lokojipalle,0,0,8,1.5,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Amarapuram,Thammadehalli,0,0,0,0,0,0,0,0,1,0.76,0,0,0,0
ANDHRA PRADESH,Anantapur,Anantapur,Alamuru,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Anantapur,Chiyyedu,0,0,2,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Anantapur,Gollapalle,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Anantapur,Kandakur,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Anantapur,Rachanapalle,1,1.62,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Anantapur,Sajjalakalva,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Anantapur,Thaticherla,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Bathalapalle,Dampetla,0,0,3,0.8,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Bathalapalle,Gariselapalle,0,0,1,0.8,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Brahmasamudram,Brahmasamudram,0,0,1,2.02,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Brahmasamudram,Santhekondapuram,0,0,11,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Brahmasamudram,Theetakal,0,0,5,7.88,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Brahmasamudram,Vepalaparthy,3,0,1,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Bukkaraya Samudram,Podaralla,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Chennekothapalle,Chennekothapalle,0,0,3,4.86,3,4.86,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Chennekothapalle,Ganginepalle,0,0,1,2.43,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Chennekothapalle,Nyamaddala,0,0,0,0,2,3.24,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Chilamathur,Kodur,0,0,6,6.33,1,5.26,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Chilamathur,Tekulodu,0,0,2,5.66,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,D.Hirehal,H.Hossahalli,0,0,8,9.07,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,D.Hirehal,Hirdehal,0,0,40,66.58,1,1.41,0,0,0,0,0,0,1,2.21
ANDHRA PRADESH,Anantapur,D.Hirehal,Jajarakal,0,0,5,4.46,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,D.Hirehal,Kadalur,1,1.08,2,2.08,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,D.Hirehal,Muradi,0,0,1,1.02,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,D.Hirehal,Nagalapuram,0,0,5,6.25,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,D.Hirehal,Pulakurthi,0,0,2,2.34,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,D.Hirehal,Somalapuram,0,0,1,1.13,0,0,0,0,0,0,0,0,0,0
