State,District,Block/Tehsil,Village,values,problem
ANDHRA PRADESH,Anantapur,Anantapur,Kandakur,0,Salinity
ANDHRA PRADESH,Anantapur,Anantapur,Kandakur,0,Dried_up
ANDHRA PRADESH,Anantapur,Anantapur,Kandakur,0,Destroyed
ANDHRA PRADESH,Anantapur,Anantapur,Kandakur,0,Sea_water
ANDHRA PRADESH,Anantapur,Anantapur,Kandakur,1,Factory_waste
ANDHRA PRADESH,Anantapur,Anantapur,Kandakur,0,Project
ANDHRA PRADESH,Anantapur,Anantapur,Kandakur,0,Others
ANDHRA PRADESH,Anantapur,Bathalapalle,Dampetla,0,Salinity
ANDHRA PRADESH,Anantapur,Bathalapalle,Dampetla,14,Dried_up
ANDHRA PRADESH,Anantapur,Bathalapalle,Dampetla,1,Destroyed
ANDHRA PRADESH,Anantapur,Bathalapalle,Dampetla,0,Sea_water
ANDHRA PRADESH,Anantapur,Bathalapalle,Dampetla,0,Factory_waste
ANDHRA PRADESH,Anantapur,Bathalapalle,Dampetla,0,Project
ANDHRA PRADESH,Anantapur,Bathalapalle,Dampetla,0,Others
ANDHRA PRADESH,Anantapur,Bathalapalle,Gariselapalle,0,Salinity
ANDHRA PRADESH,Anantapur,Bathalapalle,Gariselapalle,1,Dried_up
ANDHRA PRADESH,Anantapur,Bathalapalle,Gariselapalle,0,Destroyed
ANDHRA PRADESH,Anantapur,Bathalapalle,Gariselapalle,0,Sea_water
ANDHRA PRADESH,Anantapur,Bathalapalle,Gariselapalle,0,Factory_waste
ANDHRA PRADESH,Anantapur,Bathalapalle,Gariselapalle,0,Project
ANDHRA PRADESH,Anantapur,Bathalapalle,Gariselapalle,0,Others
ANDHRA PRADESH,Anantapur,Bathalapalle,Sangala,0,Salinity
ANDHRA PRADESH,Anantapur,Bathalapalle,Sangala,3,Dried_up
ANDHRA PRADESH,Anantapur,Bathalapalle,Sangala,2,Destroyed
ANDHRA PRADESH,Anantapur,Bathalapalle,Sangala,0,Sea_water
ANDHRA PRADESH,Anantapur,Bathalapalle,Sangala,0,Factory_waste
ANDHRA PRADESH,Anantapur,Bathalapalle,Sangala,0,Project
ANDHRA PRADESH,Anantapur,Bathalapalle,Sangala,0,Others
ANDHRA PRADESH,Anantapur,Brahmasamudram,Gundiganihalli,0,Salinity
ANDHRA PRADESH,Anantapur,Brahmasamudram,Gundiganihalli,0,Dried_up
ANDHRA PRADESH,Anantapur,Brahmasamudram,Gundiganihalli,1,Destroyed
ANDHRA PRADESH,Anantapur,Brahmasamudram,Gundiganihalli,0,Sea_water
ANDHRA PRADESH,Anantapur,Brahmasamudram,Gundiganihalli,0,Factory_waste
ANDHRA PRADESH,Anantapur,Brahmasamudram,Gundiganihalli,0,Project
ANDHRA PRADESH,Anantapur,Brahmasamudram,Gundiganihalli,0,Others
ANDHRA PRADESH,Anantapur,Brahmasamudram,Vepalaparthy,0,Salinity
ANDHRA PRADESH,Anantapur,Brahmasamudram,Vepalaparthy,0,Dried_up
ANDHRA PRADESH,Anantapur,Brahmasamudram,Vepalaparthy,1,Destroyed
ANDHRA PRADESH,Anantapur,Brahmasamudram,Vepalaparthy,0,Sea_water
ANDHRA PRADESH,Anantapur,Brahmasamudram,Vepalaparthy,0,Factory_waste
ANDHRA PRADESH,Anantapur,Brahmasamudram,Vepalaparthy,0,Project
ANDHRA PRADESH,Anantapur,Brahmasamudram,Vepalaparthy,0,Others
ANDHRA PRADESH,Anantapur,Chilamathur,Kodur,0,Salinity
ANDHRA PRADESH,Anantapur,Chilamathur,Kodur,5,Dried_up
ANDHRA PRADESH,Anantapur,Chilamathur,Kodur,0,Destroyed
ANDHRA PRADESH,Anantapur,Chilamathur,Kodur,0,Sea_water
ANDHRA PRADESH,Anantapur,Chilamathur,Kodur,0,Factory_waste
ANDHRA PRADESH,Anantapur,Chilamathur,Kodur,0,Project
ANDHRA PRADESH,Anantapur,Chilamathur,Kodur,0,Others
ANDHRA PRADESH,Anantapur,Garladinne,Garladinne,0,Salinity
ANDHRA PRADESH,Anantapur,Garladinne,Garladinne,6,Dried_up
ANDHRA PRADESH,Anantapur,Garladinne,Garladinne,0,Destroyed
ANDHRA PRADESH,Anantapur,Garladinne,Garladinne,0,Sea_water
ANDHRA PRADESH,Anantapur,Garladinne,Garladinne,0,Factory_waste
ANDHRA PRADESH,Anantapur,Garladinne,Garladinne,0,Project
ANDHRA PRADESH,Anantapur,Garladinne,Garladinne,0,Others
ANDHRA PRADESH,Anantapur,Garladinne,Illuru,0,Salinity
ANDHRA PRADESH,Anantapur,Garladinne,Illuru,36,Dried_up
ANDHRA PRADESH,Anantapur,Garladinne,Illuru,0,Destroyed
ANDHRA PRADESH,Anantapur,Garladinne,Illuru,0,Sea_water
ANDHRA PRADESH,Anantapur,Garladinne,Illuru,0,Factory_waste
ANDHRA PRADESH,Anantapur,Garladinne,Illuru,0,Project
ANDHRA PRADESH,Anantapur,Garladinne,Illuru,0,Others
ANDHRA PRADESH,Anantapur,Garladinne,Jambuladinne,0,Salinity
ANDHRA PRADESH,Anantapur,Garladinne,Jambuladinne,26,Dried_up
ANDHRA PRADESH,Anantapur,Garladinne,Jambuladinne,0,Destroyed
ANDHRA PRADESH,Anantapur,Garladinne,Jambuladinne,0,Sea_water
ANDHRA PRADESH,Anantapur,Garladinne,Jambuladinne,0,Factory_waste
ANDHRA PRADESH,Anantapur,Garladinne,Jambuladinne,0,Project
ANDHRA PRADESH,Anantapur,Garladinne,Jambuladinne,0,Others
ANDHRA PRADESH,Anantapur,Garladinne,Kalluru Agraharam,0,Salinity
ANDHRA PRADESH,Anantapur,Garladinne,Kalluru Agraharam,12,Dried_up
ANDHRA PRADESH,Anantapur,Garladinne,Kalluru Agraharam,0,Destroyed
ANDHRA PRADESH,Anantapur,Garladinne,Kalluru Agraharam,0,Sea_water
ANDHRA PRADESH,Anantapur,Garladinne,Kalluru Agraharam,0,Factory_waste
ANDHRA PRADESH,Anantapur,Garladinne,Kalluru Agraharam,0,Project
ANDHRA PRADESH,Anantapur,Garladinne,Kalluru Agraharam,0,Others
ANDHRA PRADESH,Anantapur,Garladinne,Koppalakonda,0,Salinity
ANDHRA PRADESH,Anantapur,Garladinne,Koppalakonda,50,Dried_up
ANDHRA PRADESH,Anantapur,Garladinne,Koppalakonda,0,Destroyed
ANDHRA PRADESH,Anantapur,Garladinne,Koppalakonda,0,Sea_water
ANDHRA PRADESH,Anantapur,Garladinne,Koppalakonda,0,Factory_waste
ANDHRA PRADESH,Anantapur,Garladinne,Koppalakonda,0,Project
ANDHRA PRADESH,Anantapur,Garladinne,Koppalakonda,0,Others
ANDHRA PRADESH,Anantapur,Garladinne,Krishnapuram,0,Salinity
ANDHRA PRADESH,Anantapur,Garladinne,Krishnapuram,1,Dried_up
ANDHRA PRADESH,Anantapur,Garladinne,Krishnapuram,0,Destroyed
ANDHRA PRADESH,Anantapur,Garladinne,Krishnapuram,0,Sea_water
ANDHRA PRADESH,Anantapur,Garladinne,Krishnapuram,0,Factory_waste
ANDHRA PRADESH,Anantapur,Garladinne,Krishnapuram,0,Project
ANDHRA PRADESH,Anantapur,Garladinne,Krishnapuram,0,Others
ANDHRA PRADESH,Anantapur,Garladinne,Obulapuram,0,Salinity
ANDHRA PRADESH,Anantapur,Garladinne,Obulapuram,15,Dried_up
ANDHRA PRADESH,Anantapur,Garladinne,Obulapuram,0,Destroyed
ANDHRA PRADESH,Anantapur,Garladinne,Obulapuram,0,Sea_water
ANDHRA PRADESH,Anantapur,Garladinne,Obulapuram,0,Factory_waste
