State,District,Block/Tehsil,Village,Salinity - No.,Salinity - PL,Dried up - No.,Dried up - PL,Destroyed beyond repair - No.,Destroyed beyond repair - PL,Sea water intrusion  - No.,Sea water intrusion  - PL,Industrial effluents - No.,Industrial effluents - PL,Availability of Major/Medium Irrigation Projects  - No.,Availability of Major/Medium Irrigation Projects  - PL,Other reasons - No.,Other reasons - PL
ANDHRA PRADESH,Anantapur,Amadagur,Amadagur,1,0.8,131,2.21,3,0.61,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Amadagur,Cheekirevulapalle,0,0,8,5.85,0,0,32,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Amadagur,Chinaganipalle,4,7.17,18,0,0,0,30,0,0,0,5,0,0,0
ANDHRA PRADESH,Anantapur,Amadagur,Dademvaripalle,0,0,9,3.83,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Amadagur,Edigavaripalle,2,1.51,3,0,1,1.95,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Amadagur,Jowkalakothapalle,0,0,69,0,1,2.79,1,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Amadagur,Karinireddipalle,0,0,9,3.43,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Amadagur,Kassamudram,0,0,3,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Amadagur,Lokojipalle,0,0,5,2.91,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Amadagur,Mohammadabad,1,0.69,22,1.13,2,1.82,47,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Amadagur,Pulikuntlapalle,0,0,3,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Amadagur,Thummala,0,0,54,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Amarapuram,Amarapuram,1,2.42,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Amarapuram,Basavanahalli,1,1.57,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Amarapuram,Halukuru,0,0,0,0,44,71.95,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Amarapuram,Hemavathi,1,0.8,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Amarapuram,Nidragatta,1,0.4,0,0,36,47.99,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Amarapuram,Thammadehalli,17,22.71,0,0,2,1.05,0,0,103,110.96,0,0,0,0
ANDHRA PRADESH,Anantapur,Anantapur,Alamuru,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Anantapur,Chiyyedu,0,0,2,0,1,0,0,0,2,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Anantapur,Gollapalle,0,0,3,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Anantapur,Katiganikalva,0,0,2,0,8,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Anantapur,Kodimi,0,0,2,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Anantapur,Mannila,0,0,1,0,0,0,0,0,2,0.81,0,0,0,0
ANDHRA PRADESH,Anantapur,Anantapur,Somanadoddi,0,0,6,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Anantapur,Thaticherla,0,0,2,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Anantapur,Upparapalle,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Atmakur,Goridindla,3,2.8,0,0,0,0,1,4.04,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Atmakur,Padamatiyaleru,0,0,0,0,1,0.84,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Bathalapalle,Apparacheruvu,0,0,1,1.01,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Bathalapalle,Bathalapalle,1,1.21,19,18.52,4,2.81,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Bathalapalle,Chennarayapatnam,0,0,1,1.21,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Bathalapalle,D.Cherlopalle,0,0,1,2.43,0,0,0,0,1,3.04,0,0,0,0
ANDHRA PRADESH,Anantapur,Bathalapalle,Dampetla,2,3.23,3,3.64,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,Anantapur,Bathalapalle,Edula Mustur,0,0,15,34.29,2,1.61,0,0,0,0,1,4.04,0,0
ANDHRA PRADESH,Anantapur,Bathalapalle,Gariselapalle,2,2.02,41,52.2,5,13.55,0,0,2,2.02,0,0,0,0
