State,District,Block/Tehsil,Village,values,problem
ANDHRA PRADESH,Anantapur,Amadagur,Amadagur,1,Salinity
ANDHRA PRADESH,Anantapur,Amadagur,Amadagur,131,Dried_up
ANDHRA PRADESH,Anantapur,Amadagur,Amadagur,3,Destroyed
ANDHRA PRADESH,Anantapur,Amadagur,Amadagur,0,Sea_water
ANDHRA PRADESH,Anantapur,Amadagur,Amadagur,0,Factory_waste
ANDHRA PRADESH,Anantapur,Amadagur,Amadagur,0,Project
ANDHRA PRADESH,Anantapur,Amadagur,Amadagur,0,Others
ANDHRA PRADESH,Anantapur,Amadagur,Cheekirevulapalle,0,Salinity
ANDHRA PRADESH,Anantapur,Amadagur,Cheekirevulapalle,8,Dried_up
ANDHRA PRADESH,Anantapur,Amadagur,Cheekirevulapalle,0,Destroyed
ANDHRA PRADESH,Anantapur,Amadagur,Cheekirevulapalle,32,Sea_water
ANDHRA PRADESH,Anantapur,Amadagur,Cheekirevulapalle,0,Factory_waste
ANDHRA PRADESH,Anantapur,Amadagur,Cheekirevulapalle,0,Project
ANDHRA PRADESH,Anantapur,Amadagur,Cheekirevulapalle,0,Others
ANDHRA PRADESH,Anantapur,Amadagur,Chinaganipalle,4,Salinity
ANDHRA PRADESH,Anantapur,Amadagur,Chinaganipalle,18,Dried_up
ANDHRA PRADESH,Anantapur,Amadagur,Chinaganipalle,0,Destroyed
ANDHRA PRADESH,Anantapur,Amadagur,Chinaganipalle,30,Sea_water
ANDHRA PRADESH,Anantapur,Amadagur,Chinaganipalle,0,Factory_waste
ANDHRA PRADESH,Anantapur,Amadagur,Chinaganipalle,5,Project
ANDHRA PRADESH,Anantapur,Amadagur,Chinaganipalle,0,Others
ANDHRA PRADESH,Anantapur,Amadagur,Dademvaripalle,0,Salinity
ANDHRA PRADESH,Anantapur,Amadagur,Dademvaripalle,9,Dried_up
ANDHRA PRADESH,Anantapur,Amadagur,Dademvaripalle,0,Destroyed
ANDHRA PRADESH,Anantapur,Amadagur,Dademvaripalle,0,Sea_water
ANDHRA PRADESH,Anantapur,Amadagur,Dademvaripalle,0,Factory_waste
ANDHRA PRADESH,Anantapur,Amadagur,Dademvaripalle,0,Project
ANDHRA PRADESH,Anantapur,Amadagur,Dademvaripalle,0,Others
ANDHRA PRADESH,Anantapur,Amadagur,Edigavaripalle,2,Salinity
ANDHRA PRADESH,Anantapur,Amadagur,Edigavaripalle,3,Dried_up
ANDHRA PRADESH,Anantapur,Amadagur,Edigavaripalle,1,Destroyed
ANDHRA PRADESH,Anantapur,Amadagur,Edigavaripalle,0,Sea_water
ANDHRA PRADESH,Anantapur,Amadagur,Edigavaripalle,0,Factory_waste
ANDHRA PRADESH,Anantapur,Amadagur,Edigavaripalle,0,Project
ANDHRA PRADESH,Anantapur,Amadagur,Edigavaripalle,0,Others
ANDHRA PRADESH,Anantapur,Amadagur,Jowkalakothapalle,0,Salinity
ANDHRA PRADESH,Anantapur,Amadagur,Jowkalakothapalle,69,Dried_up
ANDHRA PRADESH,Anantapur,Amadagur,Jowkalakothapalle,1,Destroyed
ANDHRA PRADESH,Anantapur,Amadagur,Jowkalakothapalle,1,Sea_water
ANDHRA PRADESH,Anantapur,Amadagur,Jowkalakothapalle,0,Factory_waste
ANDHRA PRADESH,Anantapur,Amadagur,Jowkalakothapalle,0,Project
