State,District,Block/Tehsil,Village,values,problem
ANDHRA PRADESH,Anantapur,Agali,Kodihalli,0,Salinity
ANDHRA PRADESH,Anantapur,Agali,Kodihalli,5,Dried_up
ANDHRA PRADESH,Anantapur,Agali,Kodihalli,0,Destroyed
ANDHRA PRADESH,Anantapur,Agali,Kodihalli,0,Sea_water
ANDHRA PRADESH,Anantapur,Agali,Kodihalli,0,Factory_waste
ANDHRA PRADESH,Anantapur,Agali,Kodihalli,0,Project
ANDHRA PRADESH,Anantapur,Agali,Kodihalli,0,Others
ANDHRA PRADESH,Anantapur,Amadagur,Amadagur,0,Salinity
ANDHRA PRADESH,Anantapur,Amadagur,Amadagur,4,Dried_up
ANDHRA PRADESH,Anantapur,Amadagur,Amadagur,0,Destroyed
ANDHRA PRADESH,Anantapur,Amadagur,Amadagur,0,Sea_water
ANDHRA PRADESH,Anantapur,Amadagur,Amadagur,0,Factory_waste
ANDHRA PRADESH,Anantapur,Amadagur,Amadagur,0,Project
ANDHRA PRADESH,Anantapur,Amadagur,Amadagur,0,Others
ANDHRA PRADESH,Anantapur,Amadagur,Cheekirevulapalle,0,Salinity
ANDHRA PRADESH,Anantapur,Amadagur,Cheekirevulapalle,1,Dried_up
ANDHRA PRADESH,Anantapur,Amadagur,Cheekirevulapalle,0,Destroyed
ANDHRA PRADESH,Anantapur,Amadagur,Cheekirevulapalle,0,Sea_water
ANDHRA PRADESH,Anantapur,Amadagur,Cheekirevulapalle,0,Factory_waste
ANDHRA PRADESH,Anantapur,Amadagur,Cheekirevulapalle,0,Project
ANDHRA PRADESH,Anantapur,Amadagur,Cheekirevulapalle,0,Others
ANDHRA PRADESH,Anantapur,Amadagur,Dademvaripalle,0,Salinity
ANDHRA PRADESH,Anantapur,Amadagur,Dademvaripalle,3,Dried_up
ANDHRA PRADESH,Anantapur,Amadagur,Dademvaripalle,0,Destroyed
ANDHRA PRADESH,Anantapur,Amadagur,Dademvaripalle,0,Sea_water
ANDHRA PRADESH,Anantapur,Amadagur,Dademvaripalle,0,Factory_waste
ANDHRA PRADESH,Anantapur,Amadagur,Dademvaripalle,0,Project
ANDHRA PRADESH,Anantapur,Amadagur,Dademvaripalle,0,Others
ANDHRA PRADESH,Anantapur,Amadagur,Lokojipalle,0,Salinity
ANDHRA PRADESH,Anantapur,Amadagur,Lokojipalle,8,Dried_up
ANDHRA PRADESH,Anantapur,Amadagur,Lokojipalle,0,Destroyed
ANDHRA PRADESH,Anantapur,Amadagur,Lokojipalle,0,Sea_water
ANDHRA PRADESH,Anantapur,Amadagur,Lokojipalle,0,Factory_waste
ANDHRA PRADESH,Anantapur,Amadagur,Lokojipalle,0,Project
ANDHRA PRADESH,Anantapur,Amadagur,Lokojipalle,0,Others
ANDHRA PRADESH,Anantapur,Amarapuram,Thammadehalli,0,Salinity
ANDHRA PRADESH,Anantapur,Amarapuram,Thammadehalli,0,Dried_up
ANDHRA PRADESH,Anantapur,Amarapuram,Thammadehalli,0,Destroyed
ANDHRA PRADESH,Anantapur,Amarapuram,Thammadehalli,0,Sea_water
ANDHRA PRADESH,Anantapur,Amarapuram,Thammadehalli,1,Factory_waste
ANDHRA PRADESH,Anantapur,Amarapuram,Thammadehalli,0,Project
ANDHRA PRADESH,Anantapur,Amarapuram,Thammadehalli,0,Others
ANDHRA PRADESH,Anantapur,Anantapur,Alamuru,0,Salinity
ANDHRA PRADESH,Anantapur,Anantapur,Alamuru,1,Dried_up
ANDHRA PRADESH,Anantapur,Anantapur,Alamuru,0,Destroyed
ANDHRA PRADESH,Anantapur,Anantapur,Alamuru,0,Sea_water
ANDHRA PRADESH,Anantapur,Anantapur,Alamuru,0,Factory_waste
ANDHRA PRADESH,Anantapur,Anantapur,Alamuru,0,Project
ANDHRA PRADESH,Anantapur,Anantapur,Alamuru,0,Others
ANDHRA PRADESH,Anantapur,Anantapur,Chiyyedu,0,Salinity
ANDHRA PRADESH,Anantapur,Anantapur,Chiyyedu,2,Dried_up
ANDHRA PRADESH,Anantapur,Anantapur,Chiyyedu,0,Destroyed
ANDHRA PRADESH,Anantapur,Anantapur,Chiyyedu,0,Sea_water
ANDHRA PRADESH,Anantapur,Anantapur,Chiyyedu,0,Factory_waste
ANDHRA PRADESH,Anantapur,Anantapur,Chiyyedu,0,Project
ANDHRA PRADESH,Anantapur,Anantapur,Chiyyedu,0,Others
ANDHRA PRADESH,Anantapur,Anantapur,Gollapalle,0,Salinity
ANDHRA PRADESH,Anantapur,Anantapur,Gollapalle,1,Dried_up
ANDHRA PRADESH,Anantapur,Anantapur,Gollapalle,0,Destroyed
ANDHRA PRADESH,Anantapur,Anantapur,Gollapalle,0,Sea_water
ANDHRA PRADESH,Anantapur,Anantapur,Gollapalle,0,Factory_waste
ANDHRA PRADESH,Anantapur,Anantapur,Gollapalle,0,Project
ANDHRA PRADESH,Anantapur,Anantapur,Gollapalle,0,Others
ANDHRA PRADESH,Anantapur,Anantapur,Kandakur,0,Salinity
ANDHRA PRADESH,Anantapur,Anantapur,Kandakur,0,Dried_up
ANDHRA PRADESH,Anantapur,Anantapur,Kandakur,0,Destroyed
ANDHRA PRADESH,Anantapur,Anantapur,Kandakur,0,Sea_water
ANDHRA PRADESH,Anantapur,Anantapur,Kandakur,1,Factory_waste
ANDHRA PRADESH,Anantapur,Anantapur,Kandakur,0,Project
ANDHRA PRADESH,Anantapur,Anantapur,Kandakur,0,Others
ANDHRA PRADESH,Anantapur,Anantapur,Rachanapalle,1,Salinity
ANDHRA PRADESH,Anantapur,Anantapur,Rachanapalle,0,Dried_up
ANDHRA PRADESH,Anantapur,Anantapur,Rachanapalle,0,Destroyed
ANDHRA PRADESH,Anantapur,Anantapur,Rachanapalle,0,Sea_water
ANDHRA PRADESH,Anantapur,Anantapur,Rachanapalle,0,Factory_waste
ANDHRA PRADESH,Anantapur,Anantapur,Rachanapalle,0,Project
ANDHRA PRADESH,Anantapur,Anantapur,Rachanapalle,0,Others
ANDHRA PRADESH,Anantapur,Anantapur,Sajjalakalva,0,Salinity
ANDHRA PRADESH,Anantapur,Anantapur,Sajjalakalva,0,Dried_up
ANDHRA PRADESH,Anantapur,Anantapur,Sajjalakalva,0,Destroyed
ANDHRA PRADESH,Anantapur,Anantapur,Sajjalakalva,0,Sea_water
ANDHRA PRADESH,Anantapur,Anantapur,Sajjalakalva,1,Factory_waste
ANDHRA PRADESH,Anantapur,Anantapur,Sajjalakalva,0,Project
ANDHRA PRADESH,Anantapur,Anantapur,Sajjalakalva,0,Others
ANDHRA PRADESH,Anantapur,Anantapur,Thaticherla,0,Salinity
ANDHRA PRADESH,Anantapur,Anantapur,Thaticherla,1,Dried_up
ANDHRA PRADESH,Anantapur,Anantapur,Thaticherla,0,Destroyed
ANDHRA PRADESH,Anantapur,Anantapur,Thaticherla,0,Sea_water
ANDHRA PRADESH,Anantapur,Anantapur,Thaticherla,0,Factory_waste
ANDHRA PRADESH,Anantapur,Anantapur,Thaticherla,0,Project
ANDHRA PRADESH,Anantapur,Anantapur,Thaticherla,0,Others
ANDHRA PRADESH,Anantapur,Bathalapalle,Dampetla,0,Salinity
ANDHRA PRADESH,Anantapur,Bathalapalle,Dampetla,3,Dried_up
ANDHRA PRADESH,Anantapur,Bathalapalle,Dampetla,0,Destroyed
ANDHRA PRADESH,Anantapur,Bathalapalle,Dampetla,0,Sea_water
ANDHRA PRADESH,Anantapur,Bathalapalle,Dampetla,0,Factory_waste
ANDHRA PRADESH,Anantapur,Bathalapalle,Dampetla,0,Project
ANDHRA PRADESH,Anantapur,Bathalapalle,Dampetla,0,Others
ANDHRA PRADESH,Anantapur,Bathalapalle,Gariselapalle,0,Salinity
ANDHRA PRADESH,Anantapur,Bathalapalle,Gariselapalle,1,Dried_up
ANDHRA PRADESH,Anantapur,Bathalapalle,Gariselapalle,0,Destroyed
ANDHRA PRADESH,Anantapur,Bathalapalle,Gariselapalle,0,Sea_water
ANDHRA PRADESH,Anantapur,Bathalapalle,Gariselapalle,0,Factory_waste
ANDHRA PRADESH,Anantapur,Bathalapalle,Gariselapalle,0,Project
ANDHRA PRADESH,Anantapur,Bathalapalle,Gariselapalle,0,Others
ANDHRA PRADESH,Anantapur,Brahmasamudram,Brahmasamudram,0,Salinity
ANDHRA PRADESH,Anantapur,Brahmasamudram,Brahmasamudram,1,Dried_up
ANDHRA PRADESH,Anantapur,Brahmasamudram,Brahmasamudram,0,Destroyed
ANDHRA PRADESH,Anantapur,Brahmasamudram,Brahmasamudram,0,Sea_water
ANDHRA PRADESH,Anantapur,Brahmasamudram,Brahmasamudram,0,Factory_waste
ANDHRA PRADESH,Anantapur,Brahmasamudram,Brahmasamudram,0,Project
ANDHRA PRADESH,Anantapur,Brahmasamudram,Brahmasamudram,0,Others
ANDHRA PRADESH,Anantapur,Brahmasamudram,Santhekondapuram,0,Salinity
ANDHRA PRADESH,Anantapur,Brahmasamudram,Santhekondapuram,11,Dried_up
ANDHRA PRADESH,Anantapur,Brahmasamudram,Santhekondapuram,0,Destroyed
ANDHRA PRADESH,Anantapur,Brahmasamudram,Santhekondapuram,0,Sea_water
ANDHRA PRADESH,Anantapur,Brahmasamudram,Santhekondapuram,0,Factory_waste
ANDHRA PRADESH,Anantapur,Brahmasamudram,Santhekondapuram,0,Project
ANDHRA PRADESH,Anantapur,Brahmasamudram,Santhekondapuram,0,Others
ANDHRA PRADESH,Anantapur,Brahmasamudram,Theetakal,0,Salinity
ANDHRA PRADESH,Anantapur,Brahmasamudram,Theetakal,5,Dried_up
ANDHRA PRADESH,Anantapur,Brahmasamudram,Theetakal,0,Destroyed
ANDHRA PRADESH,Anantapur,Brahmasamudram,Theetakal,0,Sea_water
ANDHRA PRADESH,Anantapur,Brahmasamudram,Theetakal,0,Factory_waste
ANDHRA PRADESH,Anantapur,Brahmasamudram,Theetakal,0,Project
ANDHRA PRADESH,Anantapur,Brahmasamudram,Theetakal,0,Others
